Symbol,Volatility
USD,5.233331
DISH,4.286736435
ABMD,4.251832141
CCL,4.137234206
KSS,4.075975918
NCLH,4.00854016
GPS,3.712199354
ALGN,3.670255304
NVDA,3.622895594
NFLX,3.606158345
RCL,3.482051002
AMD,3.461005057
PAYC,3.417542984
UAA,3.372809698
HBI,3.327552485
ZION,3.288718969
UA,3.286733996
LNC,3.2436468
SLG,3.237066073
ILMN,3.228307621
ALB,3.208507753
CMA,3.178830822
APA,3.172666563
PVH,3.157506838
PYPL,3.121215983
VFC,3.096236615
DXCM,3.065701619
DXC,3.047597793
EXPE,3.046594832
FTNT,3.045170847
FTI,3.011355324
AAL,2.984171302
KEY,2.981331886
WYNN,2.97375898
KMX,2.969533868
MOS,2.951535238
UAL,2.942786046
LRCX,2.932254529
VNO,2.913298677
DVN,2.911177004
NOW,2.902116131
NOV,2.897438233
LVS,2.891395204
FCX,2.869204563
MRO,2.849856176
ANET,2.840563862
HAL,2.834757873
AAP,2.810987316
OXY,2.791730272
COTY,2.770893052
ZBRA,2.760298288
WDC,2.756658554
APTV,2.754834156
NWL,2.754726352
AMAT,2.748019755
XRX,2.728792545
AMZN,2.726710195
F,2.717425012
SLB,2.699962842
KLAC,2.686478067
TPR,2.674242287
MU,2.66477869
CF,2.643254915
MHK,2.626109088
MGM,2.612455495
EL,2.611031219
IPGP,2.605457806
DVA,2.590979114
NUE,2.58221971
ADSK,2.580485992
MCHP,2.580185985
FIS,2.570713579
INTU,2.550384526
QCOM,2.550030912
CRM,2.530227478
QRVO,2.520319707
FANG,2.519763835
VLO,2.516381703
TGT,2.516280072
STX,2.500756479
HES,2.497233254
URI,2.494247128
GM,2.494086069
BIIB,2.491919102
ADBE,2.488182781
SCHW,2.486224121
SYF,2.471683631
SWK,2.471424614
DAL,2.461952466
BA,2.442544386
EOG,2.438717117
INTC,2.437631629
LYV,2.431394102
IVZ,2.424147402
BIO,2.409367955
CFG,2.407183643
COF,2.403027388
TFC,2.402831459
SWKS,2.396381056
PHM,2.393300786
ODFL,2.390588917
DFS,2.381862566
BKR,2.37805865
RL,2.376296687
TTWO,2.375874294
ISRG,2.374649863
